title,crawler_category,llm_category,llm_secondary_tags,llm_confidence,match
"Israel has ‘de facto state policy’ of organised torture, says UN report",world,global politics,"news, human rights",0.9,False
Donald Trump says airspace above and around Venezuela is closed,world,global politics,"news, conflict",0.9,False
Russian attack on Kyiv cuts power to half of city and leaves two dead,world,global politics,"conflict, politics",1.0,False
"At least 460 killed in south-east Asia floods and landslides, reports say",world,news,floods,0.9,False
"Convincing evidence Israel backed aid convoy looters in Gaza, historian says",world,global politics,"conflict, policy",1.0,False
"Ukrainian soldiers see Trump plan as capitulation, even as they dream of peace",world,global politics,"conflict, diplomacy",1.0,False
National Guard member killed in D.C. shooting remembered for 'heart of gold',us-news,global politics,news,0.8,False
What we know about the National Guard members who were victims of the D.C. shooting,us-news,global politics,news,0.8,False
The campaign to make Richard Nixon great again,politics,global politics,"politics, history",0.9,False
Trump tells airlines Venezuela's airspace is 'closed in its entirety' in latest escalation,world,global politics,"military, conflict",0.9,False
"After 46 years, a family thought they had closure in the disappearance of their 6-year-old. Now, they’ll face another trial",none,global politics,news,0.8,False
"From mobile phones to cooked frogs, inside London's biggest lost property office",none,events,news,0.8,False
Oregon teacher accused of sexual misconduct that school district was ‘fully aware’ of,none,news,global politics,0.8,False
"Man Keeps Rock For Years, Hoping It's Gold. It Turned Out to Be Way More Valuable.",none,news,science,0.9,False
Scientists sound alarm over unprecedented conditions in capital city: 'We may have to evacuate',none,news,"global politics, environment",0.8,False
Settlement reached in Fox vs Dominion lawsuit,business,global politics,"law, media",0.8,False
Settlement reached in Fox vs Dominion lawsuit,business,news,global politics,1.0,False
Here are the Fox broadcasts and tweets Dominion says were defamatory,media,global politics,news,0.8,False
"Fox News settles with Dominion for $787 million, averting defamation trial over its 2020 election lies",media,news,global politics,0.8,False
The US economy could depend on McCarthy corralling his extremist Republican troops,politics,global politics,"economics, politics",0.9,False
"Israel has ‘de facto state policy’ of organised torture, says UN report",world,global politics,news,1.0,False
Donald Trump says airspace above and around Venezuela is closed,world,global politics,news,1.0,False
Russian attack on Kyiv cuts power to half of city and leaves two dead,world,global politics,"conflict, diplomacy",1.0,False
"At least 460 killed in south-east Asia floods and landslides, reports say",world,news,natural disasters,1.0,False
"Convincing evidence Israel backed aid convoy looters in Gaza, historian says",world,global politics,"conflict, diplomacy",1.0,False
Zelenskyy faces ‘mini-revolution’ as Yermak’s fall reshapes Ukraine’s wartime power system,world,global politics,news,0.9,False
Your Party conference thrown into chaos as Zarah Sultana boycotts first day,politics,global politics,party politics,1.0,False
Impasse over EHRC single-sex spaces guidance ‘distracting from other issues’,world,global politics,news,0.9,False
UK MPs push for extra aid and visas as Jamaica reels from Hurricane Melissa,world,global politics,news,0.9,False
Sri Lanka death toll from floods and landslides reaches 153,world,news,"floods, natural disaster",1.0,False
